;Goals;Assists;Tackels;Fouls;Clear;Dribbles;Passes
Robert Lewandowski;0,67;0,21;0,4;0,8;0,5;1,5;22,1
Lorenzo Insigne;0,36;0,21;0,5;0,3;0,1;0,9;43,9
Kalidou Koulibaly;0,06;0,06;1,7;1,4;3,9;0,3;71,9
Benjamin Pavard;0;0;1;0,7;6,4;0,2;49,8
Niklas Sule;0,06;0;0,9;0,5;2,6;0,1;82,6
Raheem Sterling;0,5;0,29;0,9;1,2;0,1;2,4;37,1
Kyle Walker;0,03;0,03;1,2;0,5;1,5;0,5;72,4
Cristiano Ronaldo;0,68;0,26;0,3;0,6;1;1,5;33,3
Leonardo Bonucci;0,1;0;0,6;0,5;2,8;0,1;55,7
Alexander Arnold;0,03;0,41;2,1;0,5;2,1;0,5;58,5
Andrew Robertson;0;0,31;2,2;0,5;1,3;0,8;66,6
Virgil van Dijk;0,11;0,05;1;0,3;5,2;0,2;79,9
Mohamed Salah;0,58;0,21;0,6;0,7;0,1;2,1;24,5
Lionel Messi;1,06;0,38;0,4;0,6;0;3,9;53,8
Frankie de Jong;0,1;0,1;1,8;1,1;1,3;2;79,5
Antoine Griezmann;0,41;0,24;0,8;0,5;0,6;0,5;37,5
Toni Kroos;0,07;0,14;1,8;0,8;0,4;0,5;74
Daniel Carvajal;0,04;0,08;1,7;1,3;1,1;1,4;64,6
Jadon Sancho;0,35;0,41;0,6;0,1;0,1;3,3;44,7
Piotr Zielinski;0,17;0,06;1,1;0,8;0,4;1,5;54,8
David Alaba;0,1;0,1;1,1;0,4;1;0,9;56,9
Diego Godin;0,1;0,03;1,7;1,1;4,3;0,3;34,9
Luka Modric;0,09;0,18;1,4;0,8;0,2;1,6;55,6
Jordi Alba;0,06;0,22;1,2;0,7;1,6;0,4;65,6
Philippe Coutinho;0,15;0,06;0,5;0,6;0,1;1,5;40,8
Ivan Rakitic;0,09;0,15;0,9;0,8;0,8;0,6;74,6
Ngolo Kante;0,11;0,11;2,1;1;0,7;0,9;56,2
Bernardo Silva;0,19;0,19;1,4;0,9;0,7;1,4;47,4
Paul Pogba;0,37;0,54;1,3;1,5;1;1,7;59,1
Sergio Busquets;0;0,03;2,6;1,1;1;0,3;68,4
Kylian Mbappe;1,14;0,24;0,3;0,7;0,1;2,2;26,9
Marco Reus;0,63;0,3;1,2;1,3;1,2;0,9;37,6
Julian Draxler;0,13;0,16;1,3;0,8;0,1;1,4;49,5
Joshua Kimmich;0,06;0,38;1,4;0,8;1;1,1;74,1
Thiago Alcantara;0,07;0,2;2,9;1,7;0,6;1,9;83,6
Thomas Muller;0,19;0,28;1,3;0,7;0,4;0,7;37,5
Eden Hazard;0,43;0,41;0,4;0,3;0,1;3,7;49,2
Christian Eriksen;0,23;0,34;1,2;0,5;0,2;0,5;53,5
Harry Kane;0,61;0,14;0,4;1,1;0,5;1,4;19,7
Shkodran Mustafi;0,06;0;2;1,4;5,2;0,3;56,9
Arkadiusz Milik;0,49;0,09;0,5;1,2;0,4;0,2;16,8
Jose Callejon;0,09;0,29;1;0,4;0,2;0,4;43,8
Marcus Rashford;0,3;0,18;0,7;0,8;0,7;1,3;20,2
Luke Shaw;0,03;0,14;1,9;1,4;2,8;0,9;57,2
Ashley Young;0,07;0,07;1,7;1,2;1,9;0,6;45,9
Edin Dzeko;0,27;0,18;0,4;0,9;1,1;1;21,4
Aleksandar Kolarov;0,24;0,06;1,2;0,8;2,1;0,9;48,7
Stephan El Shaarawy;0,39;0,11;1;0,5;0,2;1,6;29,1
Luis Suarez;0,64;0,18;0,5;0,9;0,7;1,1;29
Gerard Pique;0,11;0,06;1,2;0,7;4,2;0,3;68,3
